亚洲
🇧🇹 BT - 不丹
🇹🇱 TL - 东帝汶
🇨🇳 CN - 中国
🇺🇿 UZ - 乌兹别克斯坦
🇾🇪 YE - 也门
🇦🇲 AM - 亚美尼亚
🇮🇱 IL - 以色列
🇮🇶 IQ - 伊拉克
🇮🇷 IR - 伊朗
🇶🇦 QA - 卡塔尔
🇮🇳 IN - 印度
🇮🇩 ID - 印度尼西亚
🇸🇾 SY - 叙利亚
🇹🇼 TW - 台湾
🇰🇬 KG - 吉尔吉斯斯坦
🇰🇿 KZ - 哈萨克斯坦
🇹🇲 TM - 土库曼斯坦
🇹🇷 TR - 土耳其
🇹🇯 TJ - 塔吉克斯坦
🇧🇩 BD - 孟加拉国
🇳🇵 NP - 尼泊尔
🇵🇸 PS - 巴勒斯坦
🇵🇰 PK - 巴基斯坦
🇧🇭 BH - 巴林
🇧🇳 BN - 文莱
🇱🇰 LK - 斯里兰卡
🇸🇬 SG - 新加坡
🇯🇵 JP - 日本
🇰🇵 KP - 朝鲜
🇰🇭 KH - 柬埔寨
🇬🇪 GE - 格鲁吉亚
🇸🇦 SA - 沙特阿拉伯
🇹🇭 TH - 泰国
🇲🇴 MO - 澳门
🇰🇼 KW - 科威特
🇯🇴 JO - 约旦
🇲🇲 MM - 缅甸
🇱🇦 LA - 老挝
🇵🇭 PH - 菲律宾
🇲🇳 MN - 蒙古国
🇻🇳 VN - 越南
🇦🇿 AZ - 阿塞拜疆
🇦🇫 AF - 阿富汗
🇴🇲 OM - 阿曼
🇦🇪 AE - 阿联酋
🇰🇷 KR - 韩国
🇭🇰 HK - 香港
🇲🇻 MV - 马尔代夫
🇲🇾 MY - 马来西亚
🇱🇧 LB - 黎巴嫩

欧洲
🇩🇰 DK - 丹麦
🇺🇦 UA - 乌克兰
🇷🇺 RU - 俄罗斯
🇧🇬 BG - 保加利亚
🇭🇷 HR - 克罗地亚
🇮🇸 IS - 冰岛
🇱🇮 LI - 列支敦士登
🇭🇺 HU - 匈牙利
🇲🇰 MK - 北马其顿
🇱🇺 LU - 卢森堡
🇸🇲 SM - 圣马力诺
🇷🇸 RS - 塞尔维亚
🇨🇾 CY - 塞浦路斯
🇦🇽 AX - 奥兰
🇦🇹 AT - 奥地利
🇦🇩 AD - 安道尔
🇬🇷 GR - 希腊
🇩🇪 DE - 德国
🇮🇹 IT - 意大利
🇱🇻 LV - 拉脱维亚
🇳🇴 NO - 挪威
🇨🇿 CZ - 捷克
🇲🇩 MD - 摩尔多瓦
🇲🇨 MC - 摩纳哥
🇸🇰 SK - 斯洛伐克
🇸🇮 SI - 斯洛文尼亚
🇬🇬 GG - 根西
🇻🇦 VA - 梵蒂冈
🇧🇪 BE - 比利时
🇫🇷 FR - 法国
🇫🇴 FO - 法罗群岛
🇵🇱 PL - 波兰
🇧🇦 BA - 波黑
🇯🇪 JE - 泽西
🇮🇪 IE - 爱尔兰
🇪🇪 EE - 爱沙尼亚
🇸🇪 SE - 瑞典
🇨🇭 CH - 瑞士
🇧🇾 BY - 白俄罗斯
🇬🇮 GI - 直布罗陀
🇱🇹 LT - 立陶宛
🇷🇴 RO - 罗马尼亚
🇫🇮 FI - 芬兰
🇬🇧 GB - 英国
🇺🇰 UK - 英国
🇳🇱 NL - 荷兰
🇵🇹 PT - 葡萄牙
🇪🇸 ES - 西班牙
🇦🇱 AL - 阿尔巴尼亚
🇮🇲 IM - 马恩岛
🇲🇹 MT - 马耳他
🇲🇪 ME - 黑山

非洲
🇨🇫 CF - 中非
🇺🇬 UG - 乌干达
🇹🇩 TD - 乍得
🇪🇦 EA - 休达、梅利利亚
🇨🇻 CV - 佛得角
🇬🇲 GM - 冈比亚
🇬🇳 GN - 几内亚
🇬🇼 GW - 几内亚比绍
🇨🇬 CG - 刚果共和国
🇨🇩 CD - 刚果民主共和国
🇱🇾 LY - 利比亚
🇱🇷 LR - 利比里亚
🇬🇭 GH - 加纳
🇬🇦 GA - 加蓬
🇮🇨 IC - 加那利群岛
🇸🇸 SS - 南苏丹
🇿🇦 ZA - 南非
🇧🇼 BW - 博茨瓦纳
🇷🇼 RW - 卢旺达
🇪🇷 ER - 厄立特里亚
🇩🇯 DJ - 吉布提
🇨🇲 CM - 喀麦隆
🇸🇹 ST - 圣多美和普林西比
🇹🇿 TZ - 坦桑尼亚
🇪🇬 EG - 埃及
🇪🇹 ET - 埃塞俄比亚
🇸🇳 SN - 塞内加尔
🇸🇱 SL - 塞拉利昂
🇸🇨 SC - 塞舌尔
🇹🇬 TG - 多哥
🇦🇴 AO - 安哥拉
🇳🇬 NG - 尼日利亚
🇳🇪 NE - 尼日尔
🇧🇫 BF - 布基纳法索
🇧🇮 BI - 布隆迪
🇲🇦 MA - 摩洛哥
🇸🇿 SZ - 斯威士兰
🇲🇷 MR - 毛里塔尼亚
🇲🇺 MU - 毛里求斯
🇿🇼 ZW - 津巴布韦
🇹🇦 TA - 特里斯坦-达库尼亚
🇷🇪 RE - 留尼汪
🇰🇲 KM - 科摩罗
🇨🇮 CI - 科特迪瓦
🇹🇳 TN - 突尼斯
🇸🇴 SO - 索马里
🇳🇦 NA - 纳米比亚
🇰🇪 KE - 肯尼亚
